['34. тур', 'Stal Brzeg', '2:3', 'Gwarek T.G.', '33.47', '24.71', '41.82', '2023-06-17']
['4. тур', 'Динамо', '4:0', 'Андижан-SGS', '70.87', '13.42', '15.71', '2023-06-17']
['10. тур', 'Валор', '2:0', 'Фордж', '17.42', '22.15', '60.43', '2023-06-17']
['10. тур', 'Галифакс', '3:1', 'Кавалри', '20.30', '26.62', '53.08', '2023-06-17']
['10. тур', 'Атл. Оттава', '1:0', 'Ванкувер', '36.23', '28.23', '35.54', '2023-06-17']
['10. тур', 'Кольдинг', '1:2', 'Эсбьерг', '50.25', '25.38', '24.37', '2023-06-17']
['12. тур', 'ЖЮ Жодино', '3:3', 'Островец', '28.51', '24.14', '47.34', '2023-06-17']
['12. тур', 'Витебск', '3:0', 'Молодечно', '32.34', '24.34', '43.32', '2023-06-17']
['12. тур', 'Днепр Могилёв', '3:1', 'Слоним', '54.77', '20.70', '24.53', '2023-06-17']
['12. тур', 'Волна Пинск', '3:0', 'Шахтёр П.', '77.71', '14.13', '8.16', '2023-06-17']
['2-й круг', 'Lausanne U18', '4:1', 'Aarau U18', '25.96', '26.63', '47.41', '2023-06-17']
['4. тур', 'St. Gallen U18', '5:0', 'FC Sion U18', '28.39', '25.07', '46.54', '2023-06-17']
['7. тур', 'Прогресо', '0:2', 'Club Oriental', '14.88', '17.65', '67.47', '2023-06-17']
['7. тур', 'Альбион', '0:1', 'CA Atenas', '65.93', '15.17', '18.90', '2023-06-17']
['7. тур', 'Рентистас', '0:0', 'I.A. Potencia', '75.07', '9.89', '15.03', '2023-06-17']
['15. тур', 'Индепендьенте', '3:4', 'Эль Насьональ', '56.13', '23.02', '20.85', '2023-06-17']
['15. тур', 'Cumbayá FC', '2:1', 'Libertad FC', '34.15', '32.31', '33.54', '2023-06-17']
['15. тур', 'Gualaceo SC', '2:1', 'Гуаякиль Сити', '41.89', '25.79', '32.31', '2023-06-17']
['13. тур', 'Täby FK', '1:1', 'Dalkurd', '18.37', '15.07', '66.56', '2023-06-17']
['13. тур', 'Utd. IK Nordic', '3:1', 'Hammarby TFF', '53.48', '23.72', '22.80', '2023-06-17']
['13. тур', 'Lunds BK', '3:2', 'Norrby', '37.55', '21.23', '41.22', '2023-06-17']
['13. тур', 'Oskarshamns AIK', '5:1', 'Ahlafors IF', '9.89', '21.76', '68.35', '2023-06-17']
['7. тур', 'QD Red Lions', '1:0', 'WH Jiangcheng', '79.74', '10.97', '9.29', '2023-06-17']
['7. тур', 'HM Codion', '1:1', 'TA Tiankuang', '31.78', '25.31', '42.91', '2023-06-17']
